English,Actual Nepali,Predicted Nepali
This was the price I had to pay for my valor.,"सँगाल्नुपरेको थियो यो मूल्य मेरो वीरताको,",मैले आफ्नो बलको लागि तिर्नुपर्ने यो मूल्य थियो।
"Due to the pressure of time, all members from the side were under stress.",समयको दबाबको कारण पक्षका सबै सदस्यहरू तनावमा थिए।,समयको दबाबका कारण पक्षका सबै सदस्यहरू तनावमा थिए।
It must have intrigued him to know what I was up to!,म के गर्दै छु भन्ने उसलाई कृतकृती लाग्यो होला नि !,मैले के पाउँदै हुन थाहा पाउनु भनेको होला !
The guard opened the gate and let the students in the school.,गेटको सुरक्षा गार्डले गेट खोले र विद्यार्थीलाई विद्यालयमा प्रवेश गराए।,पक्षकले गेट खोलेर विद्यार्थीलाई स्कूलमा दिए।
"Because of alcohol, we can feel the warm fragrance and sweetness of spring.",मधुका कारण हामी बसंतको न्यानो सुगन्ध र मिठास बुझ्न सक्छौं।,मधुको कारण बसंतको न्यानो गन्ध र मिठास महसुस गर्न सकिन्छ।
"In the measurement of both quantities, energy per coulomb is calculated. So, both of them have the same SI unit, i.e. volt.",यी दुवै परिमाणको मापनमा शक्ति प्रतिकोलम्बको हिसाब गरिने भएकाले यिनको एस. आई. एकाइ भोल्ट हो।,"दुवै मात्रा मापनमा प्रत्येक कोलोम्बको ऊर्जा हिसाब गरिएको छ। त्यसैले दुवैलाई एउटै सीए युनिट छ, जस्तै भोल्"
"By depositing, you can preserve old memories.",नासो राखेर तिमीले पुराना यादहरू सँजोर्न सक्छौं।,नासो राखेर पुराना सम्झनाहरू सुरक्षित गर्न सकिन्छ।
A tear fell from her eye when she tried to tear the paper.,उसको आँखाबाट आँसु झर्यो जब उसले कागज च्यात्न खोज्यो।,उसले कागजलाई हटाउन खोज्दा उसको आँखाबाट एउटा आँसु खसिरहेको थियो।
"If you are ready by eight, I will come.",तिमी आठ बजे सम्म तयार हुनेछौ भने म आउँछु।,तिमी आठ जनाले तयार भए म आउँछु।
Thinking about death is reaching the limit of time.,कालका बारेमा सोचना भनेको समयको सीमाबद्धतासम्म पुग्नु हो।,कालका बारेमा सोच्दा समयको सीमामा पुगेको छ।
They scattered.,तिनीहरू तितरवितर भए ।,तिनीहरू छरिए ।
I was heading to Kerala for the New Year.,नयाँ वर्षका लागि म केरला जाँदै थिएँ ।,म नयाँ वर्ष केरला जाँदै थिएँ ।
The design of the belt includes modern elements.,पेटीको डिजाइनमा आधुनिक तत्वहरू समावेश गरिएको छ।,पेटीको डिजाइनमा आधुनिक तत्वहरू पर्दछन्।
That argument seemed contradictory.,गै तर्क विरोधाभासपूर्ण लाग्यो ।,त्यो तर्क विरोधाभास लाग्यो।
"I have allocated Rs. 1 billion 600 million for the Ministry of Women, Children and Senior Citizens.","महिला, बालबालिका तथा जेष्ठ नागरिक मन्त्रालयका लागि रु. १ अर्ब ६० करोड विनियोजन गरिएको छ।","महिला, बालबालिका र जेष्ठ नागरिक मन्त्रालयका लागि रु. १ अर्ब ६० करोड विनियोजन गरिएको छ।"
Have you heard of the death case from eating poisonous mushrooms?,के विषालु च्याउ खाएर मृत्यु भएका घटना सुन्नुभएका छ?,तिमीले विषालु च्याउ खाएर कालको कसो सुनेका छौ?
I shook my head and nodded.,मैले झरस्कैँ र मुन्टो हल्लाएँ।,मैले टाउको हल्लाएर झुन्डाएँ ।
"I have allocated 2 billion 500 million for the construction of one thousand disabled friendly, gender sensitive and safe classrooms.","अपांगमैत्री, लैङ्गिक संवेदनशील र सुरक्षित एक हजार कक्षाकोठा निर्माणका लागि रु. २ अर्ब ५० करोड विनियोजन गरिएको छ।","एक हजार अपांगता मैत्री, लक्षित संवेदनशील र सुरक्षित कक्षा निर्माणका लागि २ अर्ब ५० करोड विनियोजन गरिएको छ।"
The evidence from fossils is taken as strong proof of evolution.,जीवावशेषबाट प्राप्त प्रमाणलाई क्रम विकासका बलिया आधार मानिन्छ।,जीवावशेषबाट प्राप्त प्रमाणलाई क्रमविकासको बलियो प्रमाण भनिन्छ।
The reviewer wrote a very logical commentary on the book.,समीक्षकले पुस्तकको टीका निकै तार्किक लेखे।,समीक्षकले पुस्तकको एकदम तार्किक टीका लेखे।
He moved ahead by crossing through his backyard.,उसले आफ्नो घरको पछाडि तार गर्दै अघि बढ्यो।,उसले आफ्नो बारीको बारीमा पार गरेर अगाडि बढ्यो।
"'Sir?' I asked, not understanding.",'हजुर ?' मैले नबुझी सोधेँ ।,'हजुर ?' मैले बुझिन सोधेँ ।
"It must be midnight; she sits camouflaged, unaware of the presence of the brave soldier, and flows with the murmurs of the stream.","मध्यरात भएको होला, क्यामोफ्लेज भएर बसेको सैनिक बहादुरको उपस्थिति थाहा नपाई खोलाको कुलुलु स्वरसँगै बहलिएर बसेकी छ।","मध्यरात हुनुपर्छ, उनी क्यामोफ्लेज गरिरहेकी छन्‌, साहसिक सिपाहीको उपस्थिति जान्दै बसिरहेकी छन्‌ र नदीको मुस्"
How did you feel?,तिमीलाई कस्तो लाग्यो?,तिमीलाई कस्तो लाग्यो?
At least not for now.,कम्तीमा तत्कालका लागि ।,कम्तीमा अहिलेका लागि होइन ।
"The morning traffic jam made us late for school, so my friends said, ""Now let's run and go!""","बिहानको जामले हामीलाई विद्यालय पुग्न समय लाग्यो, त्यसैले साथीहरूले भने, ""अब दौडेर जाम!""","बिहान ट्राफिक जामले हामीलाई स्कूल जान ढिलो बनायो, त्यसैले साथीहरूले भने, ""अब दौडेर जाम!"""
I have allocated budget to advance the new city construction work in the North East region of Kathmandu.,काठमाडौँको उत्तर पूर्व क्षेत्रमा नयाँ नगर निर्माण कार्य अगाडि बढाउन बजेट व्यवस्था गरिएको छ।,काठमाण्डू उत्तर पूर्व क्षेत्रका नयाँ शहर निर्माण कार्यलाई अगाडि बजेट विनियोजन गरिएको छ।
"When the curtain opens, the outside view is revealed.","पर्दा खोल्दा, बाहिरको दृश्य प्रकट हुन्छ।",पर्दा खुल्दा बाहिरको दृश्य प्रकट हुन्छ।
"Pride made him make blind decisions, and alcohol made those decisions even worse.","मदले उसले अन्धो निर्णय गर्यो, अनि मदिराले त्यो निर्णयलाई झनै खराब बनायो।","मदले उसलाई अन्धो निर्णय गर्‍यो, अनि मदिराले ती निर्णयहरूलाई अझै राम्रो बनायो।"
Walking back and forth on the hotel’s veranda between the east and west.,होटलको बरन्डामा पूर्व-पश्चिम डुलिरहँ ।,होटलको भागमा पूर्व र पश्चिम बीचमा हिँडिरहेको थियो।
I was watching as he ate the apples.,उसले स्याउ खाइरहेका बेला म हेरिरहेको थिएँ।,उसले स्याउ खाइरहेको बेला म हेरिरहेको थिएँ ।
Rest plays an important role in the treatment of illness.,रोगको उपचारको लागि विश्रामले महत्वपूर्ण भूमिका खेल्छ।,रोगको उपचारमा विश्रामले महत्त्वपूर्ण भूमिका खेल्दछ।
I have allocated Rs. 57 billion 290 million for the Ministry of Agriculture and Livestock Development.,कृषि तथा पशुपक्षी विकास मन्त्रालयका लागि रु. ५७ अर्ब २९ करोड विनियोजन गरेको छु।,कृषि तथा लिभस्टक विकास मन्त्रालयका लागि रु. ५७ अर्ब २९ करोड विनियोजन गरिएको छ।
The girl is in a hurry.,किशोरी हतार गर्छे।,केटी हतारिरहेकी छ ।
"The husband takes on the role of the master in the household work and care, providing support to the wife.",पतिले घरको कामकाज र देखभालमा स्वामीको भूमिका लिन्छ र पत्नीलाई समर्थन पुर्‍याउँछ।,"पतिले घरको काम र हेरचाहमा स्वामीको भूमिका लिन्छ, जसले पत्नीलाई सहयोग पुर्याउँछ।"
"The guide told his guests something, and they began climbing uphill more determinedly.","गाइडले आफना पाहनाहरूलाई के भन्यो कृन्नि, उनीहरू निकै जोडसाथ उकालो हिँड्न थालेका थिए।","गाइडले आफ्ना पाहुनाहरूलाई केही भन्यो, र उनीहरू अझ दृढ रूपमा उकालो उक्लिन थालेका थिए।"
"He is so worried! He is looking at me while crossing the river, but he feels insecure about himself.",उनी कस्तोविधि चिन्तित छन्‌ ! मलाई नदी तारिरहेका छन्‌ तर मैवाट आफूलाई असुरक्षित ठानिरहेका छन्‌ ।,धेरै चिन्ता छ ! नदी पार गर्दै मलाई हेरिरहेको छ तर आफूप्रति असुरक्षित लाग्छ ।
"""'They weren’t willing to understand.'""",'तिनीहरू सम्झिन तयार छैनन्‌।','बुझ्न तयार थिएनन्‌ ।'
"In my expectation, he is still uncontrolled.",मेरो अपेक्षामा उनी अझै पनि अनियन्त्रित छ।,मेरो अपेक्षामा ऊ अझै नियन्त्रण हुन्छ।
"The king’s arrogance oppressed the people, and alcohol made him sick.","राजाको मदले जनतालाई सतायो, अनि मदिराले उसलाई रोगी बनायो।","राजाको मदले जनतालाई दुःखित बनायो, अनि मदिराले उसलाई रोग्य बनायो।"
"Judging by her name, Lara, she might not have been a Nepali girl.",भन्न त उसले आफूनो नाम लारा भनेकी थिई तर कुनै नेपाली केटी नै त हीइन ?,लारा नामको न्याय गर्दै उनी एउटी नेपाली केटी होइनन्‌ होलान्‌ ।
The tree’s leaves are green.,रुखका पत्र हरियो छन्।,रुखका पातहरू हरियो छन्।
The trap naturally catches prey.,जाल शिकारलाई स्वाभाविक रूपमा फसाउँछ।,जालले शिकारलाई प्राकृतिक रूपमा फसाउँछ।
Different types of chuk are available in the market.,बजारमा विभिन्न प्रकारका चुक पाइन्छन्।,बजारमा विभिन्न प्रकारका चुक उपलब्ध छन्।
"""Let them stay,"" he said.","'बस्‌ न,' उसले भन्यो ।","बस्नुहोस्‌,' उसले भन्यो ।"
This plan was wholly successful.,यो योजना संपूर्ण रूपमा सफल भयो।,यो योजना सम्पूर्ण रूपमा सफल भयो।
"Suddenly, Chhiring called, asking, ""Wanna hang out?"" I yelled back at him with all the insults I knew.",'ड्ङ्क गर्ने ?' भनेर छिरिङले फोन गन्यो । मैले जानेसम्मका शब्द 'फलाकेर गाली गरेँ ।,अकस्मात्‌ चिरिङले बोलाएर सोध्यो- 'बाहिर निस्कन्छ ?' मैले उसलाई चिनेको सबै गालीहरूले फर्के।
Let's go shopping in the market!,बजारमा किनमेल गर्न जाम!,बजारमा किन जाम!
The teacher called on Jesus to answer the question.,शिक्षकले येशूलाई प्रश्नको उत्तर दिनको लागि बोलाए।,गुरुले येशूलाई प्रश्नको उत्तर दिन आग्रह गरे।
It is estimated that inflation will remain at 5.5 percent.,आगामी वर्ष मुद्रास्फीति ५.५ प्रतिशत रहन अनुमान छ।,मूल्याङ्कन गर्नुपर्छ कि इक्लिमेशन ५.५ प्रतिशत अवस्थामा रहन्छ।
The definition of time and death makes life invaluable.,समय र कालको परिभाषाले जीवनलाई अनमोल बनाउँछ।,समय र कालको परिभाषाले जीवनलाई अमूल्य बनाउँछ।
"""Make a documentary film,"" I said.","“डकुमेन्द्री फिल्म बना,” मैले भनेँ ।","'डकुमेन्ट्री फिल्म बनाउनुहोस्,' मैले भनेँ ।"
He recognizes even people who are not his relatives.,उसले आफन्त नभएको मानिसलाई पनि चिन्दछ।,उसले आफ्नो नागरिक होइनन्‌ मान्छे पनि चिन्छ।
The carat of her ring has a significant impact.,उसको अंगूठीमा क्यारटको मात्राको महत्त्वपूर्ण प्रभाव छ।,उनको औंठीको क्यारटमा ठूलो प्रभाव पार्छ।
Many people are needed to pull the bridge.,पुल तान्न धेरै मानिसहरू चाहिन्छ।,पुल तान्नका लागि धेरै मानिसहरू आवश्यक छन्।
This fertilizer should be left in the open for some days before use.,लेदो मललाई सिधै खेतबारीमा प्रयोग नगरी खुला छोडेर केही दिनपछि मात्र प्रयोग गर्नु पर्छ।,यो मललाई केही दिन अघि प्रयोग गर्न खुलामा राख्नुपर्छ।
"What about me? Pretending not to hear, I pushed my computer table into the corner and took a sip of feni.",म के कम ? नसुनेको भान पार्दै काखको कम्प्युटर टेबलको कुनापट्टि थन्क्याएर फेनीको ग्लास तानेँ ।,के होला ? सुन्न नसक्ने भएर मैले कम्प्युटरको टेबललाई कुनामा हानेर फेनीको सिप लिएँ ।
What a strange tradition—to roar all night and rest by morning!,रातभरि गर्जेर बिहान सुत्ने कस्तो अजिब परम्परा हो ?,कस्तो अनौठो परम्परा बिहानै रातभरि र विश्राम गर्ने !
"Intoxicated by joy, he spent unnecessarily, and alcohol increased that spending.","हर्षको मदमा उन्मत्त भएर, उसले अनावश्यक खर्च गर्यो, अनि मदिराले त्यो खर्च झनै बढायो।","हर्षको कारण उसले अनावश्यक रूपमा खर्च गर्यो, अनि मदिराले त्यो खर्च बढायो।"
"""Can the wall also do justice to the painting?"" Kishore asked with a puzzled tone.","""पेन्टिङलाई भित्ताले पनि न्याय दिन्छ?"" किशोरले बुजजुक प्रश्न गन्यो।",'पेन्टिङमा पर्खालले पनि न्याय पार्न सक्छ ?' किशोरले अविचलित तानले सोध्यो ।
"This might be another fragile hello leaf, bound to fall every moment!","यो अर्को हेलो पात हुन सक्छे, पलापला खसिरहन विवश !","यो शायद अर्को कमजोर हुन सक्छ, हरेक पल झर्नेछ !"
"I wanted to ask, “When did you say this, Buri?”","मलाई सोध्न मन लागेको थियो, “कैले तिमीले भनेकी हौ, बरी?”","मैले सोध्न चाहन्थेँ “तपाईं कहिले भन्नुभयो, बरी?”"
An effective operation of air quality monitoring centres will be established to integrate obtained data with measures for air pollution control and regulation.,वायु गुणस्तर मापन केन्द्रको प्रभावकारी सञ्चालन गरी प्राप्त सूचनालाई वायु प्रदूषण नियन्त्रण तथा नियमनका उपायसँग आवद्ध गरिनेछ।,वायु प्रदूषण नियन्त्रण तथा नियमनका लागि प्रयोग हुने डेटासँग प्राप्त गरी हावा गुणस्तर अनुगमन केन्द्रको प्रभावकारी सञ्
"Despite the inevitable long line, we regularly frequent the popular ice cream truck.","निरन्तर लामो लाइनको बावजूद, हामी प्रायः लोकप्रिय आइसक्रीम ट्रकमा जान्छौं।","अपरिहार्य लामो लाइनको बावजुद, हामी प्रचलित आइसक्रिम ट्रक नियमित रूपमा बारम्बार जान्छौं।"
"""Half-witted, wearing a hat, smoking a pipe, walking with a guitar, humming along with the breeze ...!""","'अधबैसे, टोप लगाउने, पाइप तान्ने, गितार लिएर हिँड्ने, हावासँगै गुनगुनाइरहने ... !'",'हाल्फ-वाइन्ट भएको थोपा लगाएर पाइप खाँदै गिटारसँगै हिँडिरहेको ... !'
"""My friend will tell you to stay too.""",फकाउन मीतबाले तिम्लाई पनि बस भन्नुहुन्छ ।','मितिनी तपाईंलाई पनि बस्नुहोला ।'
The construction of waterways in the Sunkoshi and the Narayani Rivers will be started.,सुनकोशी र नारायणी नदीमा जलमार्ग निर्माण सुरु गरिनेछ।,सुनकोशी र नारायण नदीमा पानीको बाटो निर्माण कार्य सुरु गरिनेछ।
The way to express aesthetic essence in celibate life is different.,ब्रह्मचारी जीवनमा रसको अनुभव प्रकट गर्ने तरिका भिन्न हुन्छ।,सिलिबेट जीवनमा रस व्यक्त गर्ने तरिका फरक हुन्छ।
Duplication between health-related social security programs and health insurance will be eliminated.,स्वास्थ्यसँग सम्बन्धित सामाजिक सुरक्षाका कार्यक्रम र स्वास्थ्य बीमाबीचको दोहोरोपना हटाइनेछ।,स्वास्थ्यसम्बन्धी सामाजिक सुरक्षा कार्यक्रम र स्वास्थ्य बीमाबीचको दुईवटा निकालिनेछ।
"""That’s my luck.""",“मेरो भाग्य हो ।','त्यो मेरो भाग्य हो ।'
Keeping it is a good idea.,राख्नु एक उत्तम विचार हो।,राख्नु राम्रो विचार हो।
Cosmology is the branch of science related to the study of the origin and evolution of the universe.,कज्मोलजी ब्रह्माण्डको उत्पत्ति र यसको विकासक्रमसम्बन्धी अध्ययन गर्ने विज्ञान हो।,ब्रह्माण्डको उत्पत्ति र क्रमविकासको अध्ययनसम्बन्धी विज्ञानको शाखा हो।
"The aquatic ecosystem includes the ecosystem of ponds, rivers, oceans, lakes, wetlands, etc.","जलीय पारिस्थितिक पद्धतिअन्तर्गत पोखरी, नदी, समुद्र, ताल, सिमसार आदिका पारिस्थितिक पद्धति पर्दछन्।","जलवायु पारिस्थितिक पद्धतिमा पोखरी, नदी, समुद्र, ताल, गाढा जमिन आदि पर्दछन्।"
"""Why are you so anxious?"" I asked.",तपाईं किन आत्तिनुभएको ?' मैले सोधेँ ।,'किन त्यति चिन्ता गर्नुहुन्छ ?' मैले सोधेँ ।
It increases the girth or diameter.,यिनीहरूले जरा तथा काण्डको मोटाइ वृद्धि गर्छन्।,यसले जाइन्ट वा पारिमाणलाई बढाउँछ।
"""Whatever she got, she took,"" she said.","“जै पायो त्यही,' उसले भनी ।","'जे पायो त्यही,' उसले भनी ।"
The essence of natural gifts makes our lives blessed.,प्राकृतिक उपहार र यसको रसले हाम्रो जीवनलाई आशीर्वादित बनाउँछ।,प्राकृतिक उपहारहरूको रसले हाम्रो जीवनलाई आशीर्वाद दिन्छ।
A student must understand the true meaning of learning.,विद्यार्थीले सिकाइको साँचो अर्थ बुझ्नुपर्छ।,विद्यार्थीले शिक्षाको साँचो अर्थ बुझ्नु पर्छ।
"If the stalk is pruned properly, it becomes fruitful.",रूखमा सही ढंगले कलम काटेमा फलदायी हुन्छ।,कलम राम्रोसँग काटेर फलफूल हुन्छ।
The taste of fruit is extremely delicious.,फलको रस अत्यन्त स्वादिष्ट हुन्छ।,फलको रस अत्यन्त स्वादिष्ट छ।
It is expected that the traffic jam will reduce after the new bridge is built.,नयाँ पुल निर्माण गरेपछि जाम कम हुने अपेक्षा गरिएको छ।,नयाँ पुल बनाएपछि जाम कम हुने अपेक्षा गरिएको छ।
"At favorable conditions of air, water, temperature, and organic matter, each basidiospore germinates forming mycelium.","अनुकूल हावा, पानी, तापक्रम र जैविक पदार्थ भएपछि प्रत्येक बीजाणुबाट च्याउको माइसेलियम उम्रन्छन्।","हावा, पानी, तापक्रम र जैविक पदार्थका अनुकूल अवस्थामा हरेक बसिडियोस्पोर माइसेलियम बन्दछन्।"
Music and flavors combined make the essence of life complete.,सङ्गीत र रसको सँगै मिलेर जीवनको स्वाद पूर्ण बनाउँछ।,संगीत र स्वाद मिलेर जीवनको रस पूर्ण बनाउँछ।
"On the journey, the friends appreciated the role of the groom, and I said, ""Now, our journey with the groom will be even more exciting!""","यात्रामा साथीहरूले वरको रोललाई प्रशंसा गरे, र मैले भनें, ""अब वरका साथ हाम्रो यात्रा अझ उत्साहजनक हुनेछ!""","यात्रामा, साथीहरूले वरको भूमिकाको माया गरे, र मैले भनें, ""अब वरसँग हाम्रो यात्रा अझ आकर्षक हुनेछ!"""
There was excitement in the heart while applying the tika.,टीका लगाउँदा मनमा उत्साह जाग्यो।,टीका लगाउँदा मनमा उत्साहित थियो।
Many important tasks are completed throughout the year.,सालको दौरान धेरै महत्वपूर्ण कामहरू सम्पन्न हुन्छ।,सालभरि धेरै महत्त्वपूर्ण काम सम्पन्न गरिन्छ।
"During photosynthesis, green plants absorb a small portion of solar energy received by the earth.",पृथ्वीमा पुग्ने सूर्यको ऊर्जाको एक सानो अंश प्रकाश संश्लेषण प्रक्रियामार्फत हरियो बिरुवाहरूले अवशोषित गर्दछ।,प्रकाश संश्लेषणका क्रममा पृथ्वीले प्राप्त गरिएको सौर्य ऊर्जाको एक थोरै भाग सुनिन्छ।
"And the friction and noise between them, but it sounds differently. If one listens to the river,","क्रियाकलाप र तिनको घर्षण र ढ्वन्द्रबीच अर्कै सुनिने मात्र हो,। नदी सृन्ने हो भने","र यिनीहरूबीचको घर्षण र आवाज फरक सुनिन्छ । नदी सुन्छे,"
The couple of groom and bride at the wedding ceremony is extremely joyful.,विवाह समारोहमा वर र दुल्हनको जोडी अत्यन्त रमाइलो छ।,विवाह समारोहमा दुल्हन र दुल्हनले अत्यन्त रमाइलो छन्।
"""She picked flowers, but that’s only an outward appearance!""",'फूल सिउरे नि त्यो त बाहिरी रूप न हो!',"फूल टिपेकी थिई, तर त्यो मात्र बाहिरी रूप !'"
"After weeks of planning, she finally had the chance to ornament her dream wedding cake with sugar paste flowers and edible glitter.","हप्तौंको योजना पछि, उसले अन्ततः आफ्नो सपना विवाह केकलाई चिनीको फूल र खाद्य ग्लिटरले आभूषण गर्नको अवसर पाई।","हप्तौंको योजना पछि, उसले अन्ततः आफ्नो सपनाको विवाहको केकलाई चिनीको पास्ट फूल र खानुभयो।"
My cat prefers to eat live fish rather than canned food.,मेरो बिरालोले क्यान्ड फूडको सट्टा जीवित माछा खान मन पराउँछ।,मेरो बिरालोले खाना बनाउनुभन्दा सजीव माछा खाने चाहन्छ।
You can keep your stuff here.,तिमीले आफ्नो सामान यहाँ राख्न सक्छौ।,तिमीले आफ्नो सामान यहाँ राख्न सक्छौ।
A new warehouse was built for the clothing business.,कपडा व्यवसायका लागि नयाँ कोठी बनाइयो।,लुगा व्यापारका लागि नयाँ कोठी बनाइएको थियो।
It forms the second feeding level.,तिनले दोस्रो तहको पोषण तह बनाउँछन्।,यसले दोस्रो पोषण तह बनाउँछ।
"During the formation of a star, dust particles and gases in the nebula collect into a spherical mass due to gravitational force.",तारा बन्ने क्रममा गुरुत्वबलका कारण नेबुलामा रहेका धुलाका कण र ग्याँस आकर्षित भई खुम्चिएर एक पिण्डको रूप लिन्छ।,तारा बन्ने क्रममा ग्रिटिभेशनल शक्तिका कारण धुलाका कण र ग्याँस स्फेरिक पिण्डमा संकलन हुन्छ।
"""In someone else’s house..."" I said, hesitantly.","""अर्काको घरमा ...,' मैले गान्हो मान्दै भनेँ ।","'अरूको घरमा ...' मैले भनेँ, आत्तिएँ ।"
But I am optimistic.,'तर म आशावादी हुँ ।',तर म आशावादी छु।
Some mushrooms are edible.,केही च्याउहरू खान योग्य हुन्छन्।,केही च्याउहरू खान खान्छन्।
He pulled the rope to lift the bucket।,उसले रस्सी तानेर बाल्टी तान्यो।,उसले डोरी तानेर बाल्टिन उठायो।
"The election results were close, so a recount was necessary to determine the winner.","निर्वाचन परिणामहरू नजिक थिए, त्यसैले विजेता निर्धारण गर्न पुनःगणना आवश्यक थियो।","चयन नतिजा नजिकै थियो, त्यसैले जितेको निर्धारण गर्न पुनः पुनःगणना आवश्यक थियो।"
Fog decreases as the sun rises.,सुर्य उदीयमान हुँदासम्म हुस्सु कम हुँदै जान्छ।,सूर्य उदाउँदा हुस्सु कम हुन्छ।
"It is considered that the characters are developed in organisms from the reason of the structure of the earth, weather, adaptation, and other various factors.","पृथ्वीका बनावट, हावापानीअनुसारको जीवहरूका अनुकूलतालगायत अन्य विविध कारणले गर्दा जीवहरूमा फरक गुणहरू विकास हुँदै गएका मानिन्छ।","पृथ्वी, मौसम, अनुकूलन र अन्य अन्य तत्वहरूको संरचनाबाट सजीवहरूमा पात्रका विकास हुन्छ।"
To keep means ensuring safety.,राख्नु भनेको सुरक्षा सुनिश्चित गर्नु हो।,राख्नु भनेको सुरक्षा सुनिश्चित गर्नु हो।
But I can’t believe it.,बी तर विश्वास लाग्दैन ।,तर म विश्वास गर्न सक्दिनँ ।
"I have a bag, but it feels like I’m carrying a stone like a soldier in training.",झोला छ तर तालिमे सैनिकले ढुङ्गा बोकेजस्तो भइरहेको छ ।,झोला छ तर तालिममा सिपाहीजस्तो ढुङ्गा बोकेजस्तो लाग्छ ।
He pulled himself backward।,उसले आफूलाई पछाडि ताने।,उसले आफूलाई पछाडि ताने।
They bought fresh fruit from the market and brought it home.,तिनीहरूले बजारबाट ताजै फल किनेर ल्याए।,तिनीहरूले बजारबाट ताजा फल किनेर घर ल्याए।
"If the body produces a lot of this hormone, then the person becomes very tall.",शरीरमा यो हर्मोनको उत्पादन धेरै भयो भने मानिस निकै अग्लो हुन्छ।,यस हर्मोनको शरीरले धेरै उत्पादन गर्दा मानिस धेरै उचाइ हुन्छ।
The NRN Development Fund established by non-resident Nepalis will be facilitated to utilize it and to promote more investment opportunities.,गैरआवासीय नेपालीद्वारा स्थापित एनआरएन डेभलपमेन्ट फण्डको उपयोग र लगानीका थप अवसर प्रवर्द्धन गर्न सहजीकरण गरिनेछ।,गैरआवासीय नेपालीले स्थापित एनआर्न विकास कोषलाई प्रयोग गर्न र लगानी अवसरको प्रवर्द्धन गर्न सहजीकरण गरिनेछ।
"The vertebrates of complex animals like horses, elephants, and humans were evolved from aquatic amphibians via creeping reptiles.","पानीमा बस्ने जीवबाट उभयचर, उभयचरबाट घस्रेर हिँड्ने जीव हुँदै मेरुदण्ड भएका जटिल जनावरहरू जस्तै घोडा, हात्ती, मानिसको विकास भयो।","जटिल जनावरका मेरुदण्डहरू घोडा, हात्ती र मानिस जस्ता जटिल जीवजन्तुहरू जस्ता जटिल जीवजन्तुहरूको विकास भ"
Hello-hello! I shout again.,हैलो-हेलो !' म फेरि बतासिन्छु ।,हैलो हेलो ! म फेरि चिच्च्याउँछु ।
Depositing means saving assets for future use.,नासो राख्नु भनेको सम्पत्ति भविष्यमा प्रयोगका लागि बचत गर्नु हो।,नासो राख्नु भनेको भविष्यका लागि सम्पत्ति बचत गर्नु हो।
There are many business opportunities in the capital.,राजधानीमा व्यापारका धेरै अवसरहरू छन्।,राजधानीमा धेरै व्यापारको अवसर छ।
Write the name of one organ where each tissue is present.,प्रत्येक तन्तु पाइने एक एकओटा अङ्गको नाम लेख्नुहोस्।,प्रत्येक तन्तु उपस्थित छ भने एक अङ्गको नाम लेख्नुहोस्।
"It supports the production of biogas, solar panel, solar dryer, solar cooker, windmills, etc. as alternative energy sources.","यसले बायोग्याँस, सोलार पेनल, सोलार ड्रायर, सोलार कुकर, विन्ड मिल, ब्रिकेट आदि जस्ता वैकल्पिक उर्जाका स्रोतहरूको उत्पादनमा सहयोग गर्छ।","यसले वैकल्पिक ऊर्जाका स्रोतका रूपमा बायोग्याँस, सोलार प्यानल, सोलार ड्रायर, सोलार कुकर, वायुमिल आदि उत्"
The taste of the juice is not as you thought.,तपाईंले सोचेको जस्तो रसको स्वाद ठीक छैन।,तिमीले सोचेजस्तो रसको रस होइन।
The stolen wood can easily be broken.,चोरेका काठलाई सजिलै तोड्न सकिन्छ।,चोरिएको काठलाई सजिलै तोड्न सकिन्छ।
He watched me closely. I had slipped a hundred-note under the counter.,हेरेको हेन्दै भए । सयको नोट पिर्कामुनि घुसारिदिएको थिएँ ।,उसले मलाई ध्यान दियो । कोन्टरमुनि सय नोट चिप्लिएको थिएँ ।
But I never had a sweetheart.,"देख्न हुँदैन, त्यसै मात्तिन्छन् । तर मेरी मायालु थिइन ।",तर मलाई मायालु भएको थिएन ।
The wavelength of radio waves ranges from 1 meter to hundreds of kilometers.,रेडियो तरङ्गहरूको लम्बाइ सयौँ किलोमिटर देखि १ सम्म हुन्छ।,रेडियो तरङ्गको तरङ्ग लम्बाइ १ मिटरबाट सयौं किलोमिटर रहेको हुन्छ।
Sal oil has spread a deep fragrance in our home's drawers throughout the year.,सालको तेल हाम्रो घरको दराजमा वर्षभरि गहिरो गन्ध फैलाएको छ।,सालको तेल हाम्रो घरको दराजमा एक सालको गहिरो गन्ध फैलिएको छ।
"Humans and other animals consume plant products like grains, vegetables, fruits, and herbs.","बिरुवाबाट उत्पादन भएका अन्न, सागपात, फलफूल, घाँसलगायतका वस्तुलाई मानिस तथा अन्य जन्तुहरूले आवश्यकताअनुसार उपभोग गर्छन्।","मानिस र अन्य जनावरहरूले अन्न, तरकारी, फलफूल र जडीबुटी जस्ता वनस्पतिहरूलाई खाना बनाउँछन्।"
I put my book down when I felt embarrassed.,मैले लाज लाग्ने बेला आफ्नो किताब राखे।,लाज लाग्दा मैले आफ्नो किताब तल राखे।
